SPAR MARKITING LPO DATA ,,,,,,,,,,,,,,,,,,,,,,,
NO,,LPO Number ,company name ,Qutation numbr,finance ,Receved  ,invoice ,date ,receved  ,refrance number ,Items,Tawar ,03 mall ,Bsquare mall ,Almana ,Porto ,QQ,aljazzera ,head Office ,All Stores,Others,,
154,,4346,GrYp Printing ,3595,shazni ,26/01/2023,done ,shazni ,,154-GrYp Printing 4346-3595-shazni 44952,,"1,450",350,,,,200,,,,,,
155,,4347,GrYp Printing ,3619,shazni ,04/02/2023,done ,shazni ,,155-GrYp Printing 4347-3619-shazni 44961,BRANDING REMOVAL + REBRANDING,,"3,870",,450,"1,750",,,,,,,
156,,4348,Orizon Production Studio,132016,shazni ,07/02/2024,done ,shazni ,,156-Orizon Production Studio4348-132016-shazni 45329,Videography,,,,,,,,"2,000",,,,
157,,4349,Aldar Printing ,2302001,shazni ,09/02/2023,,shazni ,,157-Aldar Printing 4349-2302001-shazni 44966,GYM VOUCHER SPAR,,,,,,,,,"2,000",,,
158,,4350,Aldar Printing ,2302002,shazni ,12/02/2023,,shazni ,,158-Aldar Printing 4350-2302002-shazni 44969,Card ( Whatsapp Printing ),,375,,375,375,375,,,,,,
159,,4351,GrYp Printing ,3647,shazni ,15/02/2023,done ,shazni ,,159-GrYp Printing 4351-3647-shazni 44972,PRINTING  INFORMATION DESK  TAWAR Mall,200,,,,,,,,,,,
160,,4367,Margins,39,shazni ,20/02/2023,done ,shazni ,,160-Margins4367-39-shazni 44977,Sticker Printing + Installation,,,,,,"4,700",,,,,,
161,,4368,Speed line ,QT/23-0004488,shazni ,25/02/2023,,shazni ,,161-Speed line 4368-QT/23-0004488-shazni 44982,Scurity Sleeves,"6,195",,,,,,,,,,,
162,,4369,Speed line ,QT/23-0004487,shazni ,25/02/2023,,shazni ,,162-Speed line 4369-QT/23-0004487-shazni 44982,DANGLERS,"14,000",,,,,,,,,,,
163,,4370,Orizon Production Studio,2877,shazni ,26/03/2023,,shazni ,,163-Orizon Production Studio4370-2877-shazni 45011, Video in Store For Ramadan 2023,,,,,,,,,"5,509",,,
164,,4371,Orizon Production Studio,132016,shazni ,01/03/2023,,shazni ,,164-Orizon Production Studio4371-132016-shazni 44986,Videography Up to 59 Seconds,,,,,,,,,"8,400",,,
165,,4372,Orizon Production Studio,132016,shazni ,01/03/2023,done ,shazni ,,165-Orizon Production Studio4372-132016-shazni 44986,Videography,,,,,,,,,"10,000",,,
166,,4373,GrYp Printing ,3691,shazni ,02/03/2023,done ,shazni ,,166-GrYp Printing 4373-3691-shazni 44987,BRANDING (ARCH BRANDING IN 03 MALL SPAR),,"1,600",,,,,,,,,,
167,,4374,Margins,MTS- 2023 - 049,shazni ,07/03/2023,done ,shazni ,,167-Margins4374-MTS- 2023 - 049-shazni 44992,Divider / Gondola side,"6,964",700,700,,,,,,,,,
168,,4375,Aldar Printing ,2303003,shazni ,06/03/2023,,shazni ,,168-Aldar Printing 4375-2303003-shazni 44991,Pizza & Coffe Voucher SPAR / Door hanger Ramadan,,,,,,,,,"8,500",,,
169,,4376,GrYp Printing ,3679,shazni ,08/03/2023,done ,shazni ,,169-GrYp Printing 4376-3679-shazni 44993,ARCH BRANDING IN TAWAR MALL Ramadan Gate,"3,800",,,,,,,,,,,
170,,4414,imprimoqatar,QT_IT_090323_01,shazni ,09/03/2023,done ,shazni ,,170-imprimoqatar4414-QT_IT_090323_01-shazni 44994,Ramadan box Rollup with stand / country flags,,,,,,,,,"1,740",,,
171,,4415,M&M,SP-SMS150323-1,shazni ,15/03/2023,done ,shazni ,,171-M&M4415-SP-SMS150323-1-shazni 45000,BULK SMS,,,,,,,,,"10,000",,,
172,,4416,Al waraq,EST/88034,shazni ,15/03/2023,,shazni ,,172-Al waraq4416-EST/88034-shazni 45000,TAG,,,,,,,,,"1,550",,,
173,,4417,Margins,MTS - 2023 - 053,shazni ,20/03/2023,,shazni ,,173-Margins4417-MTS - 2023 - 053-shazni 45005,Business Card,,,,,,,,,,2200,HR,
174,,4418,Margins,MTS - 2023 - 058,shazni ,22/03/2023,done ,shazni ,,174-Margins4418-MTS - 2023 - 058-shazni 45007,Printing,"5,065",,,,,,,,,,,
175,,4419,Margins,MTS - 2023 - 054,shazni ,20/03/2023,done ,shazni ,,175-Margins4419-MTS - 2023 - 054-shazni 45005,Printing,,,,,,,,,,2835,operation,
176,,4420,Margins,MTS - 2023 - 060,shazni ,23/03/2023,,shazni ,,176-Margins4420-MTS - 2023 - 060-shazni 45008,Stickers Outdoor/AL Jazeera branch,,,,,,,,,,6087,operation,
